"File Name","Shoe Number","Visit Drop of Number","Engaged in Activities","Hours spent per Week","Anticipated Participation","Number of Steps Range1000","Notes","Hours Worn per Week","Hours Worn per Week Range10","Percent Time in Study Shoes of Total Time Wearing Shoes","Grassy Surfaces","Grassy Surfaces Clean","Indoor Surfaces","Indoor Surfaces Clean","Rocky Surfaces","Rocky Surfaces Clean","Muddy or Other Wet Surfaces","Muddy or Other Wet Surfaces Clean","Pavement Cement or Similar","Pavement Cement or Similar Clean","Sport Activities","Sport Activities Clean","Walking","Walking Clean","Dancing","Dancing Clean","Climbing","Climbing Clean","Hiking","Hiking Clean","Biking","Biking Clean"
"043758L_20171113_2_1_1_csafe_bpbryson.tiff","043","-1","""Sports activities, Walking""","1-3 hours per week","All the time","""66,000-66,999""","""NA""","10","0-10","60-80%","10.0","10","40","40","5","5","5","5","40","40","0","0","15","100","0","0","0","0","0","0","0","0"
"007961L_20180228_2_2_2_csafe_jekruse.tiff","007","2","""Walking""","More than 6 hours per week","4-6 times a week","""30,000-30,999""","""NA""","8","0-10","20-40%","12.0","12","40","40","2","2","6","6","40","40","0","0","12","100","0","0","0","0","0","0","0","0"
"007961L_20180411_2_2_1_csafe_jekruse.tiff","007","-1","""Walking""","More than 6 hours per week","4-6 times a week","""98,000-98,999""","""NA""","14"," 11-20","20-40%","0.1","10","0.4","40","0","0","0.1","10","0.4","40","0","0","most","100","0","0","0","0","0","0","0","0"
"043758L_20180319_2_1_1_csafe_bpbryson.tiff","043","-1","""Sports activities, Walking""","1-3 hours per week","All the time","""80,000-80,999""","""NA""","14"," 11-20","80-100%","10.0","10","20","20","0","0","10","10","60","60","0","0","6","85.71428571","1","14.28571429","0","0","0","0","0","0"
"043758L_20180319_2_2_1_csafe_bpbryson.tiff","043","-1","""Sports activities, Walking""","1-3 hours per week","All the time","""80,000-80,999""","""NA""","14"," 11-20","80-100%","10.0","10","20","20","0","0","10","10","60","60","0","0","6","85.71428571","1","14.28571429","0","0","0","0","0","0"
"043758L_20171113_2_2_1_csafe_bpbryson.tiff","043","-1","""Sports activities, Walking""","1-3 hours per week","All the time","""108,000-108,999""","""NA""","24","21-30","20-40%","3.0","3","25","25","2","2","30","30","40","40","0","0","4","50","0","0","0","0","0","0","4","50"
"043758L_20180214_2_2_2_csafe_jekruse.tiff","043","1","""Sports activities, Walking""","1-3 hours per week","All the time","""80,000-80,999""","""NA""","14"," 11-20","80-100%","10.0","10","20","20","0","0","10","10","60","60","0","0","6","85.71428571","1","14.28571429","0","0","0","0","0","0"
"007961L_20180124_2_2_2_csafe_bryson.tiff","007","1","""Walking""","More than 6 hours per week","4-6 times a week","""30,000-30,999""","""NA""","8","0-10","20-40%","12.0","12","40","40","2","2","6","6","40","40","0","0","12","100","0","0","0","0","0","0","0","0"
"043758L_20180319_2_2_2_csafe_bpbryson.tiff","043","-1","""Sports activities, Walking""","1-3 hours per week","All the time","""80,000-80,999""","""NA""","14"," 11-20","80-100%","10.0","10","20","20","0","0","10","10","60","60","0","0","6","85.71428571","1","14.28571429","0","0","0","0","0","0"
"043758L_20180319_2_1_1_csafe_bpbryson.tiff","043","-1","""Sports activities, Walking""","1-3 hours per week","All the time","""108,000-108,999""","""NA""","24","21-30","20-40%","3.0","3","25","25","2","2","30","30","40","40","0","0","4","50","0","0","0","0","0","0","4","50"
"043758L_20180418_2_1_1_csafe_jekruse.tiff","043","3","""Sports activities, Walking""","1-3 hours per week","All the time","""80,000-80,999""","""NA""","14"," 11-20","80-100%","10.0","10","20","20","0","0","10","10","60","60","0","0","6","85.71428571","1","14.28571429","0","0","0","0","0","0"
"043758L_20180214_2_1_2_csafe_jekruse.tiff","043","1","""Sports activities, Walking""","1-3 hours per week","All the time","""66,000-66,999""","""NA""","10","0-10","60-80%","10.0","10","40","40","5","5","5","5","40","40","0","0","15","100","0","0","0","0","0","0","0","0"
"007961L_20171031_2_1_2_csafe_bpbryson.tiff","007","-1","""Walking""","More than 6 hours per week","4-6 times a week","""54,000-54,999""","""NA""","12"," 11-20","0-20%","10.0","10","40","40","0","0","10","10","40","40","0","0","5","50","0","0","0","0","0","0","5","50"
"043758L_20171113_2_2_1_csafe_bpbryson.tiff","043","-1","""Sports activities, Walking""","1-3 hours per week","All the time","""80,000-80,999""","""NA""","14"," 11-20","80-100%","10.0","10","20","20","0","0","10","10","60","60","0","0","6","85.71428571","1","14.28571429","0","0","0","0","0","0"
"043758L_20171113_2_2_1_csafe_bpbryson.tiff","043","-1","""Sports activities, Walking""","1-3 hours per week","All the time","""66,000-66,999""","""NA""","10","0-10","60-80%","10.0","10","40","40","5","5","5","5","40","40","0","0","15","100","0","0","0","0","0","0","0","0"
"043758L_20171113_2_1_2_csafe_bpbryson.tiff","043","-1","""Sports activities, Walking""","1-3 hours per week","All the time","""66,000-66,999""","""NA""","10","0-10","60-80%","10.0","10","40","40","5","5","5","5","40","40","0","0","15","100","0","0","0","0","0","0","0","0"
"007961L_20180411_2_1_2_csafe_jekruse.tiff","007","-1","""Walking""","More than 6 hours per week","4-6 times a week","""30,000-30,999""","""NA""","8","0-10","20-40%","12.0","12","40","40","2","2","6","6","40","40","0","0","12","100","0","0","0","0","0","0","0","0"
"007961L_20180411_2_1_1_csafe_jekruse.tiff","007","-1","""Walking""","More than 6 hours per week","4-6 times a week","""98,000-98,999""","""NA""","14"," 11-20","20-40%","0.1","10","0.4","40","0","0","0.1","10","0.4","40","0","0","most","100","0","0","0","0","0","0","0","0"
"007961L_20180228_2_2_1_csafe_jekruse.tiff","007","2","""Walking""","More than 6 hours per week","4-6 times a week","""54,000-54,999""","""NA""","12"," 11-20","0-20%","10.0","10","40","40","0","0","10","10","40","40","0","0","5","50","0","0","0","0","0","0","5","50"
"043758L_20171113_2_2_2_csafe_bpbryson.tiff","043","-1","""Sports activities, Walking""","1-3 hours per week","All the time","""80,000-80,999""","""NA""","14"," 11-20","80-100%","10.0","10","20","20","0","0","10","10","60","60","0","0","6","85.71428571","1","14.28571429","0","0","0","0","0","0"
"043758L_20171113_2_1_1_csafe_bpbryson.tiff","043","-1","""Sports activities, Walking""","1-3 hours per week","All the time","""108,000-108,999""","""NA""","24","21-30","20-40%","3.0","3","25","25","2","2","30","30","40","40","0","0","4","50","0","0","0","0","0","0","4","50"
"043758L_20180319_2_1_2_csafe_bpbryson.tiff","043","-1","""Sports activities, Walking""","1-3 hours per week","All the time","""66,000-66,999""","""NA""","10","0-10","60-80%","10.0","10","40","40","5","5","5","5","40","40","0","0","15","100","0","0","0","0","0","0","0","0"
"007961L_20180124_2_2_1_csafe_bryson.tiff","007","1","""Walking""","More than 6 hours per week","4-6 times a week","""98,000-98,999""","""NA""","14"," 11-20","20-40%","0.1","10","0.4","40","0","0","0.1","10","0.4","40","0","0","most","100","0","0","0","0","0","0","0","0"
"043758L_20180319_2_2_1_csafe_bpbryson.tiff","043","-1","""Sports activities, Walking""","1-3 hours per week","All the time","""66,000-66,999""","""NA""","10","0-10","60-80%","10.0","10","40","40","5","5","5","5","40","40","0","0","15","100","0","0","0","0","0","0","0","0"
"007961L_20180228_2_2_1_csafe_jekruse.tiff","007","2","""Walking""","More than 6 hours per week","4-6 times a week","""98,000-98,999""","""NA""","14"," 11-20","20-40%","0.1","10","0.4","40","0","0","0.1","10","0.4","40","0","0","most","100","0","0","0","0","0","0","0","0"
"007961L_20180411_2_2_1_csafe_jekruse.tiff","007","-1","""Walking""","More than 6 hours per week","4-6 times a week","""30,000-30,999""","""NA""","8","0-10","20-40%","12.0","12","40","40","2","2","6","6","40","40","0","0","12","100","0","0","0","0","0","0","0","0"
"043758L_20180418_2_2_2_csafe_jekruse.tiff","043","3","""Sports activities, Walking""","1-3 hours per week","All the time","""108,000-108,999""","""NA""","24","21-30","20-40%","3.0","3","25","25","2","2","30","30","40","40","0","0","4","50","0","0","0","0","0","0","4","50"
"007961L_20171031_2_2_2_csafe_bpbryson.tiff","007","-1","""Walking""","More than 6 hours per week","4-6 times a week","""30,000-30,999""","""NA""","8","0-10","20-40%","12.0","12","40","40","2","2","6","6","40","40","0","0","12","100","0","0","0","0","0","0","0","0"
"007961L_20171031_2_1_1_csafe_bpbryson.tiff","007","-1","""Walking""","More than 6 hours per week","4-6 times a week","""54,000-54,999""","""NA""","12"," 11-20","0-20%","10.0","10","40","40","0","0","10","10","40","40","0","0","5","50","0","0","0","0","0","0","5","50"
"043758L_20180418_2_1_1_csafe_jekruse.tiff","043","3","""Sports activities, Walking""","1-3 hours per week","All the time","""108,000-108,999""","""NA""","24","21-30","20-40%","3.0","3","25","25","2","2","30","30","40","40","0","0","4","50","0","0","0","0","0","0","4","50"
"007961L_20180124_2_1_2_csafe_bryson.tiff","007","1","""Walking""","More than 6 hours per week","4-6 times a week","""54,000-54,999""","""NA""","12"," 11-20","0-20%","10.0","10","40","40","0","0","10","10","40","40","0","0","5","50","0","0","0","0","0","0","5","50"
"043758L_20180214_2_1_1_csafe_jekruse.tiff","043","1","""Sports activities, Walking""","1-3 hours per week","All the time","""108,000-108,999""","""NA""","24","21-30","20-40%","3.0","3","25","25","2","2","30","30","40","40","0","0","4","50","0","0","0","0","0","0","4","50"
"007961L_20180228_2_2_1_csafe_jekruse.tiff","007","2","""Walking""","More than 6 hours per week","4-6 times a week","""30,000-30,999""","""NA""","8","0-10","20-40%","12.0","12","40","40","2","2","6","6","40","40","0","0","12","100","0","0","0","0","0","0","0","0"
"043758L_20180319_2_2_1_csafe_bpbryson.tiff","043","-1","""Sports activities, Walking""","1-3 hours per week","All the time","""108,000-108,999""","""NA""","24","21-30","20-40%","3.0","3","25","25","2","2","30","30","40","40","0","0","4","50","0","0","0","0","0","0","4","50"
"007961L_20171031_2_1_2_csafe_bpbryson.tiff","007","-1","""Walking""","More than 6 hours per week","4-6 times a week","""98,000-98,999""","""NA""","14"," 11-20","20-40%","0.1","10","0.4","40","0","0","0.1","10","0.4","40","0","0","most","100","0","0","0","0","0","0","0","0"
"007961L_20180124_2_2_1_csafe_bryson.tiff","007","1","""Walking""","More than 6 hours per week","4-6 times a week","""30,000-30,999""","""NA""","8","0-10","20-40%","12.0","12","40","40","2","2","6","6","40","40","0","0","12","100","0","0","0","0","0","0","0","0"
"043758L_20180214_2_1_1_csafe_jekruse.tiff","043","1","""Sports activities, Walking""","1-3 hours per week","All the time","""80,000-80,999""","""NA""","14"," 11-20","80-100%","10.0","10","20","20","0","0","10","10","60","60","0","0","6","85.71428571","1","14.28571429","0","0","0","0","0","0"
"007961L_20180411_2_2_1_csafe_jekruse.tiff","007","-1","""Walking""","More than 6 hours per week","4-6 times a week","""54,000-54,999""","""NA""","12"," 11-20","0-20%","10.0","10","40","40","0","0","10","10","40","40","0","0","5","50","0","0","0","0","0","0","5","50"
"007961L_20171031_2_1_2_csafe_bpbryson.tiff","007","-1","""Walking""","More than 6 hours per week","4-6 times a week","""30,000-30,999""","""NA""","8","0-10","20-40%","12.0","12","40","40","2","2","6","6","40","40","0","0","12","100","0","0","0","0","0","0","0","0"
"007961L_20180228_2_2_2_csafe_jekruse.tiff","007","2","""Walking""","More than 6 hours per week","4-6 times a week","""54,000-54,999""","""NA""","12"," 11-20","0-20%","10.0","10","40","40","0","0","10","10","40","40","0","0","5","50","0","0","0","0","0","0","5","50"
"007961L_20180411_2_2_2_csafe_jekruse.tiff","007","-1","""Walking""","More than 6 hours per week","4-6 times a week","""30,000-30,999""","""NA""","8","0-10","20-40%","12.0","12","40","40","2","2","6","6","40","40","0","0","12","100","0","0","0","0","0","0","0","0"
"043758L_20180319_2_2_2_csafe_bpbryson.tiff","043","-1","""Sports activities, Walking""","1-3 hours per week","All the time","""66,000-66,999""","""NA""","10","0-10","60-80%","10.0","10","40","40","5","5","5","5","40","40","0","0","15","100","0","0","0","0","0","0","0","0"
"007961L_20180124_2_1_2_csafe_bryson.tiff","007","1","""Walking""","More than 6 hours per week","4-6 times a week","""98,000-98,999""","""NA""","14"," 11-20","20-40%","0.1","10","0.4","40","0","0","0.1","10","0.4","40","0","0","most","100","0","0","0","0","0","0","0","0"
"007961L_20180124_2_1_2_csafe_bryson.tiff","007","1","""Walking""","More than 6 hours per week","4-6 times a week","""30,000-30,999""","""NA""","8","0-10","20-40%","12.0","12","40","40","2","2","6","6","40","40","0","0","12","100","0","0","0","0","0","0","0","0"
"007961L_20171031_2_1_1_csafe_bpbryson.tiff","007","-1","""Walking""","More than 6 hours per week","4-6 times a week","""98,000-98,999""","""NA""","14"," 11-20","20-40%","0.1","10","0.4","40","0","0","0.1","10","0.4","40","0","0","most","100","0","0","0","0","0","0","0","0"
"007961L_20180411_2_1_1_csafe_jekruse.tiff","007","-1","""Walking""","More than 6 hours per week","4-6 times a week","""54,000-54,999""","""NA""","12"," 11-20","0-20%","10.0","10","40","40","0","0","10","10","40","40","0","0","5","50","0","0","0","0","0","0","5","50"
"007961L_20180411_2_1_2_csafe_jekruse.tiff","007","-1","""Walking""","More than 6 hours per week","4-6 times a week","""98,000-98,999""","""NA""","14"," 11-20","20-40%","0.1","10","0.4","40","0","0","0.1","10","0.4","40","0","0","most","100","0","0","0","0","0","0","0","0"
"043758L_20180319_2_1_2_csafe_bpbryson.tiff","043","-1","""Sports activities, Walking""","1-3 hours per week","All the time","""108,000-108,999""","""NA""","24","21-30","20-40%","3.0","3","25","25","2","2","30","30","40","40","0","0","4","50","0","0","0","0","0","0","4","50"
"043758L_20180214_2_1_1_csafe_jekruse.tiff","043","1","""Sports activities, Walking""","1-3 hours per week","All the time","""66,000-66,999""","""NA""","10","0-10","60-80%","10.0","10","40","40","5","5","5","5","40","40","0","0","15","100","0","0","0","0","0","0","0","0"
"007961L_20180411_2_1_1_csafe_jekruse.tiff","007","-1","""Walking""","More than 6 hours per week","4-6 times a week","""30,000-30,999""","""NA""","8","0-10","20-40%","12.0","12","40","40","2","2","6","6","40","40","0","0","12","100","0","0","0","0","0","0","0","0"
"007961L_20180124_2_2_2_csafe_bryson.tiff","007","1","""Walking""","More than 6 hours per week","4-6 times a week","""54,000-54,999""","""NA""","12"," 11-20","0-20%","10.0","10","40","40","0","0","10","10","40","40","0","0","5","50","0","0","0","0","0","0","5","50"
"043758L_20180214_2_2_2_csafe_jekruse.tiff","043","1","""Sports activities, Walking""","1-3 hours per week","All the time","""66,000-66,999""","""NA""","10","0-10","60-80%","10.0","10","40","40","5","5","5","5","40","40","0","0","15","100","0","0","0","0","0","0","0","0"
"007961L_20171031_2_2_1_csafe_bpbryson.tiff","007","-1","""Walking""","More than 6 hours per week","4-6 times a week","""54,000-54,999""","""NA""","12"," 11-20","0-20%","10.0","10","40","40","0","0","10","10","40","40","0","0","5","50","0","0","0","0","0","0","5","50"
"007961L_20180411_2_2_2_csafe_jekruse.tiff","007","-1","""Walking""","More than 6 hours per week","4-6 times a week","""98,000-98,999""","""NA""","14"," 11-20","20-40%","0.1","10","0.4","40","0","0","0.1","10","0.4","40","0","0","most","100","0","0","0","0","0","0","0","0"
"007961L_20180228_2_1_2_csafe_jekruse.tiff","007","2","""Walking""","More than 6 hours per week","4-6 times a week","""30,000-30,999""","""NA""","8","0-10","20-40%","12.0","12","40","40","2","2","6","6","40","40","0","0","12","100","0","0","0","0","0","0","0","0"
"007961L_20180124_2_2_1_csafe_bryson.tiff","007","1","""Walking""","More than 6 hours per week","4-6 times a week","""54,000-54,999""","""NA""","12"," 11-20","0-20%","10.0","10","40","40","0","0","10","10","40","40","0","0","5","50","0","0","0","0","0","0","5","50"
"043758L_20171113_2_2_2_csafe_bpbryson.tiff","043","-1","""Sports activities, Walking""","1-3 hours per week","All the time","""108,000-108,999""","""NA""","24","21-30","20-40%","3.0","3","25","25","2","2","30","30","40","40","0","0","4","50","0","0","0","0","0","0","4","50"
"007961L_20171031_2_2_2_csafe_bpbryson.tiff","007","-1","""Walking""","More than 6 hours per week","4-6 times a week","""98,000-98,999""","""NA""","14"," 11-20","20-40%","0.1","10","0.4","40","0","0","0.1","10","0.4","40","0","0","most","100","0","0","0","0","0","0","0","0"
"043758L_20180214_2_2_1_csafe_jekruse.tiff","043","1","""Sports activities, Walking""","1-3 hours per week","All the time","""108,000-108,999""","""NA""","24","21-30","20-40%","3.0","3","25","25","2","2","30","30","40","40","0","0","4","50","0","0","0","0","0","0","4","50"
"043758L_20180214_2_1_2_csafe_jekruse.tiff","043","1","""Sports activities, Walking""","1-3 hours per week","All the time","""108,000-108,999""","""NA""","24","21-30","20-40%","3.0","3","25","25","2","2","30","30","40","40","0","0","4","50","0","0","0","0","0","0","4","50"
"007961L_20180228_2_1_1_csafe_jekruse.tiff","007","2","""Walking""","More than 6 hours per week","4-6 times a week","""30,000-30,999""","""NA""","8","0-10","20-40%","12.0","12","40","40","2","2","6","6","40","40","0","0","12","100","0","0","0","0","0","0","0","0"
"043758L_20180214_2_2_1_csafe_jekruse.tiff","043","1","""Sports activities, Walking""","1-3 hours per week","All the time","""66,000-66,999""","""NA""","10","0-10","60-80%","10.0","10","40","40","5","5","5","5","40","40","0","0","15","100","0","0","0","0","0","0","0","0"
"007961L_20180124_2_1_1_csafe_bryson.tiff","007","1","""Walking""","More than 6 hours per week","4-6 times a week","""98,000-98,999""","""NA""","14"," 11-20","20-40%","0.1","10","0.4","40","0","0","0.1","10","0.4","40","0","0","most","100","0","0","0","0","0","0","0","0"
"043758L_20180418_2_2_1_csafe_jekruse.tiff","043","3","""Sports activities, Walking""","1-3 hours per week","All the time","""80,000-80,999""","""NA""","14"," 11-20","80-100%","10.0","10","20","20","0","0","10","10","60","60","0","0","6","85.71428571","1","14.28571429","0","0","0","0","0","0"
"007961L_20171031_2_2_1_csafe_bpbryson.tiff","007","-1","""Walking""","More than 6 hours per week","4-6 times a week","""30,000-30,999""","""NA""","8","0-10","20-40%","12.0","12","40","40","2","2","6","6","40","40","0","0","12","100","0","0","0","0","0","0","0","0"
"043758L_20180418_2_1_2_csafe_jekruse.tiff","043","3","""Sports activities, Walking""","1-3 hours per week","All the time","""66,000-66,999""","""NA""","10","0-10","60-80%","10.0","10","40","40","5","5","5","5","40","40","0","0","15","100","0","0","0","0","0","0","0","0"
"043758L_20180418_2_2_2_csafe_jekruse.tiff","043","3","""Sports activities, Walking""","1-3 hours per week","All the time","""80,000-80,999""","""NA""","14"," 11-20","80-100%","10.0","10","20","20","0","0","10","10","60","60","0","0","6","85.71428571","1","14.28571429","0","0","0","0","0","0"
"007961L_20180124_2_1_1_csafe_bryson.tiff","007","1","""Walking""","More than 6 hours per week","4-6 times a week","""54,000-54,999""","""NA""","12"," 11-20","0-20%","10.0","10","40","40","0","0","10","10","40","40","0","0","5","50","0","0","0","0","0","0","5","50"
"043758L_20180418_2_2_1_csafe_jekruse.tiff","043","3","""Sports activities, Walking""","1-3 hours per week","All the time","""108,000-108,999""","""NA""","24","21-30","20-40%","3.0","3","25","25","2","2","30","30","40","40","0","0","4","50","0","0","0","0","0","0","4","50"
"007961L_20171031_2_2_1_csafe_bpbryson.tiff","007","-1","""Walking""","More than 6 hours per week","4-6 times a week","""98,000-98,999""","""NA""","14"," 11-20","20-40%","0.1","10","0.4","40","0","0","0.1","10","0.4","40","0","0","most","100","0","0","0","0","0","0","0","0"
"043758L_20180418_2_1_2_csafe_jekruse.tiff","043","3","""Sports activities, Walking""","1-3 hours per week","All the time","""108,000-108,999""","""NA""","24","21-30","20-40%","3.0","3","25","25","2","2","30","30","40","40","0","0","4","50","0","0","0","0","0","0","4","50"
"043758L_20180319_2_2_2_csafe_bpbryson.tiff","043","-1","""Sports activities, Walking""","1-3 hours per week","All the time","""108,000-108,999""","""NA""","24","21-30","20-40%","3.0","3","25","25","2","2","30","30","40","40","0","0","4","50","0","0","0","0","0","0","4","50"
"007961L_20180411_2_2_2_csafe_jekruse.tiff","007","-1","""Walking""","More than 6 hours per week","4-6 times a week","""54,000-54,999""","""NA""","12"," 11-20","0-20%","10.0","10","40","40","0","0","10","10","40","40","0","0","5","50","0","0","0","0","0","0","5","50"
"043758L_20171113_2_1_2_csafe_bpbryson.tiff","043","-1","""Sports activities, Walking""","1-3 hours per week","All the time","""80,000-80,999""","""NA""","14"," 11-20","80-100%","10.0","10","20","20","0","0","10","10","60","60","0","0","6","85.71428571","1","14.28571429","0","0","0","0","0","0"
"043758L_20180214_2_2_1_csafe_jekruse.tiff","043","1","""Sports activities, Walking""","1-3 hours per week","All the time","""80,000-80,999""","""NA""","14"," 11-20","80-100%","10.0","10","20","20","0","0","10","10","60","60","0","0","6","85.71428571","1","14.28571429","0","0","0","0","0","0"
"007961L_20180124_2_2_2_csafe_bryson.tiff","007","1","""Walking""","More than 6 hours per week","4-6 times a week","""98,000-98,999""","""NA""","14"," 11-20","20-40%","0.1","10","0.4","40","0","0","0.1","10","0.4","40","0","0","most","100","0","0","0","0","0","0","0","0"
"043758L_20180418_2_2_1_csafe_jekruse.tiff","043","3","""Sports activities, Walking""","1-3 hours per week","All the time","""66,000-66,999""","""NA""","10","0-10","60-80%","10.0","10","40","40","5","5","5","5","40","40","0","0","15","100","0","0","0","0","0","0","0","0"
"043758L_20171113_2_2_2_csafe_bpbryson.tiff","043","-1","""Sports activities, Walking""","1-3 hours per week","All the time","""66,000-66,999""","""NA""","10","0-10","60-80%","10.0","10","40","40","5","5","5","5","40","40","0","0","15","100","0","0","0","0","0","0","0","0"
"043758L_20180319_2_1_1_csafe_bpbryson.tiff","043","-1","""Sports activities, Walking""","1-3 hours per week","All the time","""66,000-66,999""","""NA""","10","0-10","60-80%","10.0","10","40","40","5","5","5","5","40","40","0","0","15","100","0","0","0","0","0","0","0","0"
"043758L_20171113_2_1_2_csafe_bpbryson.tiff","043","-1","""Sports activities, Walking""","1-3 hours per week","All the time","""108,000-108,999""","""NA""","24","21-30","20-40%","3.0","3","25","25","2","2","30","30","40","40","0","0","4","50","0","0","0","0","0","0","4","50"
"007961L_20180228_2_1_2_csafe_jekruse.tiff","007","2","""Walking""","More than 6 hours per week","4-6 times a week","""54,000-54,999""","""NA""","12"," 11-20","0-20%","10.0","10","40","40","0","0","10","10","40","40","0","0","5","50","0","0","0","0","0","0","5","50"
"007961L_20180228_2_2_2_csafe_jekruse.tiff","007","2","""Walking""","More than 6 hours per week","4-6 times a week","""98,000-98,999""","""NA""","14"," 11-20","20-40%","0.1","10","0.4","40","0","0","0.1","10","0.4","40","0","0","most","100","0","0","0","0","0","0","0","0"
"007961L_20171031_2_1_1_csafe_bpbryson.tiff","007","-1","""Walking""","More than 6 hours per week","4-6 times a week","""30,000-30,999""","""NA""","8","0-10","20-40%","12.0","12","40","40","2","2","6","6","40","40","0","0","12","100","0","0","0","0","0","0","0","0"
"007961L_20171031_2_2_2_csafe_bpbryson.tiff","007","-1","""Walking""","More than 6 hours per week","4-6 times a week","""54,000-54,999""","""NA""","12"," 11-20","0-20%","10.0","10","40","40","0","0","10","10","40","40","0","0","5","50","0","0","0","0","0","0","5","50"
"043758L_20180418_2_1_2_csafe_jekruse.tiff","043","3","""Sports activities, Walking""","1-3 hours per week","All the time","""80,000-80,999""","""NA""","14"," 11-20","80-100%","10.0","10","20","20","0","0","10","10","60","60","0","0","6","85.71428571","1","14.28571429","0","0","0","0","0","0"
"007961L_20180411_2_1_2_csafe_jekruse.tiff","007","-1","""Walking""","More than 6 hours per week","4-6 times a week","""54,000-54,999""","""NA""","12"," 11-20","0-20%","10.0","10","40","40","0","0","10","10","40","40","0","0","5","50","0","0","0","0","0","0","5","50"
